No,Klub,Main,Menang,Seri,Kalah,Poin
1,Klub =  Liverpool,Main =  17,Menang =  16,Seri =  1,Kalah =  0,Poin =  49
2,Klub =  Leicester City FC,Main =  18,Menang =  12,Seri =  3,Kalah =  3,Poin =  39
3,Klub =  Manchester City,Main =  18,Menang =  12,Seri =  2,Kalah =  4,Poin =  38
4,Klub =  Chelsea FC,Main =  18,Menang =  10,Seri =  2,Kalah =  5,Poin =  32
5,Klub =  Sheffield United,Main =  18,Menang =  7,Seri =  7,Kalah =  4,Poin =  28
6,Klub =  Wolverhampton,Main =  18,Menang =  6,Seri =  8,Kalah =  4,Poin =  27
7,Klub =  Tottenham Hotspur FC,Main =  18,Menang =  7,Seri =  5,Kalah =  6,Poin =  26
8,Klub =  Manchester United FC,Main =  18,Menang =  6,Seri =  7,Kalah =  5,Poin =  25
9,Klub =  Newcastle United,Main =  18,Menang =  7,Seri =  4,Kalah =  7,Poin =  25
10,Klub =  Burnley,Main =  18,Menang =  7,Seri =  3,Kalah =  8,Poin =  24
11,Klub =  Arsenal FC,Main =  18,Menang =  5,Seri =  8,Kalah =  5,Poin =  23
12,Klub =  Crystal Palace,Main =  18,Menang =  6,Seri =  5,Kalah =  7,Poin =  23
13,Klub =  Brighton & Hove Albion,Main =  18,Menang =  5,Seri =  5,Kalah =  8,Poin =  20
14,Klub =  AFC Bournemouth,Main =  18,Menang =  5,Seri =  4,Kalah =  9,Poin =  19
15,Klub =  Everton FC,Main =  18,Menang =  5,Seri =  4,Kalah =  9,Poin =  19
16,Klub =  West Ham United,Main =  17,Menang =  5,Seri =  4,Kalah =  8,Poin =  19
17,Klub =  Southampton,Main =  18,Menang =  5,Seri =  3,Kalah =  10,Poin =  18
18,Klub =  Aston Villla,Main =  18,Menang =  4,Seri =  3,Kalah =  11,Poin =  15
19,Klub =  Norwich City,Main =  18,Menang =  3,Seri =  3,Kalah =  12,Poin =  12
20,Klub =  Watford,Main =  18,Menang =  2,Seri =  6,Kalah =  10,Poin =  12
