No,Nama Provinsi ,N total,S total,Jml total
1,Prov. Jawa Barat,20349,9709,19634
2,Prov. Jawa Timur,19839,8237,19202
3,Prov. Jawa Tengah,20145,4786,1893
4,Prov. Sumatera Utara,10345,4198,9772
5,Prov. Sulawesi Selatan,789,1309,6411
6,Prov. Nusa Tenggara Timur,5184,2587,5147
7,Prov. Banten,474,2776,4615
8,Prov. Lampung,5415,1686,4716
9,Prov. Sumatera Selatan,5638,1335,4678
10,Prov. Kalimantan Barat,5519,895,4405
11,Prov. Sumatera Barat,5048,708,4233
12,Prov. Riau,449,121,3709
13,Prov. Aceh,4808,679,3492
14,Prov. Nusa Tenggara Barat,3888,997,3224
15,Prov. D.K.I. Jakarta,1953,2664,2374
16,Prov. Sulawesi Tengah,3693,497,2907
17,Prov. Kalimantan Selatan,3519,377,2935
18,Prov. Kalimantan Tengah,3421,452,2636
19,Prov. Papua,2354,1326,2586
20,Prov. Sulawesi Tenggara,3293,325,232
21,Prov. Jambi,3147,408,2446
22,Prov. Sulawesi Utara,2049,1334,2218
23,Prov. Bali,2729,489,2448
24,Prov. Kalimantan Timur,2333,702,1894
25,Prov. Maluku,2072,786,1791
26,Prov. D.I. Yogyakarta,1773,976,1844
27,Prov. Maluku Utara,1676,495,1311
28,Prov. Bengkulu,1871,208,1388
29,Prov. Sulawesi Barat,176,192,1329
30,Prov. Kepulauan Riau,1051,570,962
31,Prov. Papua Barat,101,553,1071
32,Prov. Gorontalo,1341,72,944
33,Prov. Kepulauan Bangka Belitung,1005,163,816
34,Prov. Kalimantan Utara,648,105,478
35,Luar Negeri,140,64,129
